,Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Date_Year,Date_Month,VWAP,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
71,2017-08-24,TCS,EQ,2489.45,2497.7,2517.95,2486.15,2498.05,2496.6,2495.82,811954,2026487435.65,42614,596982,73.52,2017,8,2485.01,0.0028699999999999997,Slight or No change,0.0219006838673362,2500.052380952382,2479.9588235294104,HODL,2501.6000000000013,15.555014032089817,2532.7100280641807,2470.489971935822
72,2017-08-28,TCS,EQ,2496.6,2504.6,2505.4,2461.0,2491.0,2487.3,2479.76,1018398,2525378754.95,54931,696983,68.44,2017,8,2485.04,-0.00373,Slight or No change,0.0203784092758494,2496.7809523809533,2484.5279411764695,HODL,2499.064285714287,14.703458888872092,2528.4712034920312,2469.657367936543
73,2017-08-29,TCS,EQ,2487.3,2482.0,2496.0,2463.95,2475.05,2470.85,2472.97,656301,1623010550.65,23498,432172,65.85,2017,8,2484.93,-0.0066099999999999996,Slight or No change,0.021281201936071515,2496.264285714287,2485.583823529411,HODL,2496.7357142857154,16.434934983507954,2529.605584252731,2463.8658443186996
74,2017-08-30,TCS,EQ,2470.85,2481.0,2490.0,2460.1,2485.0,2484.55,2478.46,485391,1203020937.15,24262,240993,49.65,2017,8,2484.93,0.00554,Slight or No change,0.017956290164522392,2496.2761904761915,2485.8411764705875,HODL,2495.414285714287,16.6307572861891,2528.675800286665,2462.152771141909
75,2017-08-31,TCS,EQ,2484.55,2485.0,2504.4,2466.65,2498.0,2496.35,2489.91,892332,2221830190.8,47192,591710,66.31,2017,8,2485.05,0.00475,Slight or No change,0.017385808382074177,2496.492857142858,2487.5147058823527,HODL,2494.2964285714297,15.94187114157391,2526.1801708545777,2462.4126862882817
76,2017-09-01,TCS,EQ,2496.35,2480.0,2498.05,2436.55,2460.6,2456.45,2452.84,851165,2087770465.35,40185,447974,52.63,2017,9,2484.75,-0.01598,Slight or No change,0.02011267416417144,2494.340476190477,2487.8102941176467,HODL,2490.367857142858,18.029672200857284,2526.4272015445727,2454.3085127411437
77,2017-09-04,TCS,EQ,2456.45,2453.1,2461.0,2438.0,2457.0,2456.2,2452.06,531272,1302711213.65,29763,314907,59.27,2017,9,2484.57,-0.0001,Slight or No change,0.02019375634173474,2493.5023809523814,2489.5382352941174,HODL,2487.521428571429,20.09137505618721,2527.7041786838035,2447.338678459055
78,2017-09-05,TCS,EQ,2456.2,2460.0,2490.0,2437.05,2484.65,2484.35,2463.13,582997,1435996999.1,27861,390654,67.01,2017,9,2484.57,0.01146,Slight or No change,0.024022203699064652,2493.2595238095246,2492.1529411764704,HODL,2488.5892857142862,19.440898390244538,2527.471082494775,2449.7074889337973
79,2017-09-06,TCS,EQ,2484.35,2468.15,2474.85,2450.0,2453.0,2453.2,2454.77,614382,1508166251.5,37430,428731,69.78,2017,9,2484.34,-0.01254,Slight or No change,0.026788633396645677,2489.9452380952384,2493.472058823529,SELL,2485.7928571428574,21.558702126117485,2528.910261395092,2442.6754528906226
80,2017-09-07,TCS,EQ,2453.2,2458.0,2468.4,2451.05,2460.0,2460.1,2458.6,435318,1070273154.6,35496,314028,72.14,2017,9,2484.21,0.00281,Slight or No change,0.02652139864441099,2487.8809523809527,2493.780882352941,HODL,2483.967857142857,22.62670824101903,2529.2212736248953,2438.714440660819
81,2017-09-08,TCS,EQ,2460.1,2453.75,2474.0,2452.55,2465.15,2470.6,2466.13,510567,1259126114.1,26980,354180,69.37,2017,9,2484.13,0.00427,Slight or No change,0.02620635485376478,2486.3357142857144,2494.5426470588236,HODL,2480.8821428571428,21.14241641766715,2523.166975692477,2438.5973100218084
82,2017-09-11,TCS,EQ,2470.6,2471.2,2482.95,2450.0,2455.0,2454.45,2463.39,366382,902539941.4,17519,260179,71.01,2017,9,2484.0,-0.006540000000000001,Slight or No change,0.02586538321058164,2483.595238095238,2493.461764705882,HODL,2475.571428571428,17.139043531855048,2509.8495156351382,2441.2933415077177
83,2017-09-12,TCS,EQ,2454.45,2473.9,2497.0,2457.0,2497.0,2488.45,2469.62,698230,1724359523.25,25758,552659,79.15,2017,9,2484.04,0.01385,Slight or No change,0.024733796196740713,2482.5,2492.2191176470587,HODL,2474.9214285714274,16.397921001969134,2507.7172705753655,2442.1255865674893
84,2017-09-13,TCS,EQ,2488.45,2500.0,2531.65,2475.2,2492.7,2489.2,2504.48,639490,1601590314.25,32185,345028,53.95,2017,9,2484.08,0.0003,Slight or No change,0.024699216370435883,2482.1738095238093,2489.7985294117643,HODL,2474.9035714285706,16.38100992807658,2507.6655912847236,2442.1415515724175
85,2017-09-14,TCS,EQ,2489.2,2482.0,2497.6,2471.9,2485.0,2486.95,2484.2,540755,1343342208.35,38222,389170,71.97,2017,9,2484.1,-0.0009,Slight or No change,0.022100176489346143,2483.009523809523,2487.767647058823,HODL,2474.214285714285,15.581342745676542,2505.376971205638,2443.051600222932
